source_file,model_name,scope,domain,privacy_level,attack_strength,num_examples,avg_example_score,score_100
summary_gpt-5.4.json,gpt-5.4,overall,,,,825,0.5385093795093795,53.85093795093795
summary_gpt-5.4.json,gpt-5.4,by_domain_overall,customer_support,,,150,0.5141666666666667,51.416666666666664
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,customer_support,1,,30,0.5055555555555555,50.55555555555556
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,customer_support,2,,30,0.4766666666666667,47.66666666666667
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,customer_support,3,,30,0.5152777777777778,51.527777777777786
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,customer_support,4,,30,0.4261111111111111,42.611111111111114
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,customer_support,5,,30,0.6472222222222223,64.72222222222223
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,customer_support,,1,30,0.34444444444444444,34.44444444444444
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,customer_support,,2,30,0.8805555555555556,88.05555555555557
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,customer_support,,3,30,0.23333333333333334,23.333333333333332
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,customer_support,,4,30,0.43333333333333335,43.333333333333336
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,customer_support,,5,30,0.6791666666666667,67.91666666666667
summary_gpt-5.4.json,gpt-5.4,by_domain_overall,education,,,150,0.5940793650793651,59.40793650793651
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,education,1,,30,0.6519047619047619,65.19047619047619
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,education,2,,30,0.5210714285714286,52.10714285714286
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,education,3,,30,0.5535714285714286,55.35714285714286
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,education,4,,30,0.6535714285714286,65.35714285714286
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,education,5,,30,0.5902777777777778,59.02777777777778
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,education,,1,30,0.5234126984126984,52.34126984126984
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,education,,2,30,0.8277777777777777,82.77777777777777
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,education,,3,30,0.4266666666666667,42.66666666666667
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,education,,4,30,0.24523809523809526,24.523809523809526
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,education,,5,30,0.9473015873015874,94.73015873015875
summary_gpt-5.4.json,gpt-5.4,by_domain_overall,finance,,,150,0.44155555555555553,44.15555555555555
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,finance,1,,30,0.46611111111111114,46.611111111111114
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,finance,2,,30,0.4666666666666667,46.666666666666664
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,finance,3,,30,0.3783333333333333,37.83333333333333
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,finance,4,,30,0.46444444444444444,46.44444444444444
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,finance,5,,30,0.43222222222222223,43.22222222222222
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,finance,,1,30,0.15,15.0
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,finance,,2,30,0.9083333333333333,90.83333333333333
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,finance,,3,30,0.016666666666666666,1.6666666666666667
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,finance,,4,30,0.3027777777777778,30.277777777777782
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,finance,,5,30,0.8300000000000001,83.0
summary_gpt-5.4.json,gpt-5.4,by_domain_overall,medical,,,175,0.5819047619047619,58.19047619047619
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,medical,1,,35,0.5428571428571428,54.285714285714285
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,medical,2,,35,0.42857142857142855,42.857142857142854
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,medical,3,,35,0.6857142857142857,68.57142857142857
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,medical,4,,35,0.5952380952380952,59.523809523809526
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,medical,5,,35,0.6571428571428571,65.71428571428571
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,medical,,1,35,0.4857142857142857,48.57142857142857
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,medical,,2,35,0.7857142857142857,78.57142857142857
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,medical,,3,35,0.2857142857142857,28.57142857142857
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,medical,,4,35,0.37142857142857144,37.142857142857146
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,medical,,5,35,0.980952380952381,98.0952380952381
summary_gpt-5.4.json,gpt-5.4,by_domain_overall,recruitment,,,200,0.5498333333333334,54.98333333333334
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,recruitment,1,,40,0.575,57.49999999999999
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,recruitment,2,,40,0.5166666666666667,51.66666666666667
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,recruitment,3,,40,0.48250000000000004,48.25000000000001
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,recruitment,4,,40,0.6,60.0
summary_gpt-5.4.json,gpt-5.4,by_domain_privacy_level,recruitment,5,,40,0.575,57.49999999999999
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,recruitment,,1,40,0.175,17.5
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,recruitment,,2,40,0.77625,77.625
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,recruitment,,3,40,0.6375,63.74999999999999
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,recruitment,,4,40,0.175,17.5
summary_gpt-5.4.json,gpt-5.4,by_domain_attack_strength,recruitment,,5,40,0.9854166666666666,98.54166666666666
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_level,,1,,165,0.5497402597402598,54.97402597402598
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_level,,2,,165,0.4824170274170274,48.24170274170274
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_level,,3,,165,0.5255483405483405,52.55483405483405
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_level,,4,,165,0.5524675324675324,55.246753246753244
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_level,,5,,165,0.5823737373737374,58.237373737373744
summary_gpt-5.4.json,gpt-5.4,overall_by_attack_strength,,,1,165,0.3305194805194805,33.05194805194805
summary_gpt-5.4.json,gpt-5.4,overall_by_attack_strength,,,2,165,0.8306060606060607,83.06060606060606
summary_gpt-5.4.json,gpt-5.4,overall_by_attack_strength,,,3,165,0.33818181818181814,33.81818181818181
summary_gpt-5.4.json,gpt-5.4,overall_by_attack_strength,,,4,165,0.29963924963924965,29.963924963924963
summary_gpt-5.4.json,gpt-5.4,overall_by_attack_strength,,,5,165,0.8936002886002885,89.36002886002885
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,1,1,33,0.2727272727272727,27.27272727272727
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,1,2,33,0.8611111111111112,86.11111111111111
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,1,3,33,0.37272727272727274,37.27272727272727
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,1,4,33,0.3585858585858586,35.85858585858586
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,1,5,33,0.8835497835497836,88.35497835497836
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,2,1,33,0.23899711399711399,23.8997113997114
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,2,2,33,0.8106060606060606,81.06060606060606
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,2,3,33,0.24242424242424243,24.242424242424242
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,2,4,33,0.26515151515151514,26.515151515151516
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,2,5,33,0.854906204906205,85.4906204906205
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,3,1,33,0.34415584415584416,34.41558441558442
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,3,2,33,0.7893939393939394,78.93939393939394
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,3,3,33,0.36363636363636365,36.36363636363637
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,3,4,33,0.21212121212121213,21.21212121212121
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,3,5,33,0.9184343434343435,91.84343434343435
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,4,1,33,0.35678210678210676,35.678210678210675
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,4,2,33,0.8383838383838385,83.83838383838385
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,4,3,33,0.3787878787878788,37.878787878787875
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,4,4,33,0.30303030303030304,30.303030303030305
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,4,5,33,0.8853535353535353,88.53535353535354
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,5,1,33,0.4399350649350649,43.99350649350649
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,5,2,33,0.8535353535353536,85.35353535353536
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,5,3,33,0.3333333333333333,33.33333333333333
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,5,4,33,0.3593073593073593,35.93073593073593
summary_gpt-5.4.json,gpt-5.4,overall_by_privacy_and_attack,,5,5,33,0.9257575757575758,92.57575757575758
